StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_12_TEXT,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_6_TEXT,Q10,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q16,Q17,Q18,Q19,Q20
4/15/2020 10:16,4/15/2020 10:29,100,801,TRUE,4/15/2020 10:29,R_2dZqzg0RDdZlrGx,anonymous,EN,MS1,Somewhat positively affected,Neutral,Very negatively affected,Very negatively affected,Somewhat negatively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,Somewhat negatively affected,Very negatively affected,Neutral,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Strongly Agree,Neutral,Strongly Agree,N/A: I have not used this resource,Strongly Agree,Strongly Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Strongly Agree,I prefer the flexibility of learning material at my own time and pace,Biweekly,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,,,Agree,,,Stayed at UCSD graduate student housing,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,"Seeing a continuity patient for free clinic via telehealth. It has been very valuable and a great learning experience, and is helping me stay grounded and connected to my role as a med student ",I like having all the lectures and material posted ahead of time to allow me to go at my own pace,"POM for 4 hours straight is impossible. Many of the activities are difficult to do over Zoom. Honestly, the past few weeks after logging of the 4 hour POM zoom call, I have been so discouraged that I couldn't focus for the rest of the evening. Four hours on a Zoom call is physically and emotionally draining.","I miss the in-person aspects of PBL and POM, I would not want those to transition to remote learning. I'm honestly not sure what could be useful to keep.","It has been fine so far, but I was not a lecture-goer, so this is not too much a change for me. I think access to more practice materials would be very helpful. I enjoy the having extra questions do to for each lecture and I especially love the ISMs that we have had for some past blocks. Honestly, my only complaint is POM. I know the importance of POM and why we are continuing to do it via Zoom. I'm not sure if the rest of my classmates are having such a negative experience with Zoom POM, but it is truly the least favorite part of my week when we have it via Zoom."
4/15/2020 10:25,4/15/2020 10:29,100,234,TRUE,4/15/2020 10:29,R_1dmJVxbbqhdUy21,anonymous,EN,MS1,Neutral,Somewhat negatively affected,Very negatively affected,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Neutral,Neutral,Neutral,Neutral,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Neutral,Neutral,Disagree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,,,$0-100,Disagree,I prefer having required modules and due dates,Every few days,Neutral,Agree,Agree,Strongly Disagree,Disagree,,,Agree,,,Moved outside San Diego area,Agree,Agree,Disagree,Neutral,Disagree,Strongly Disagree,Signing up patients for telehealth. It has felt disjointed / unorganized,podcasts,hands-on skills,fewer lectures,long hours in a zoom meeting with one person talking at a time represents a very difficult learning environment
4/15/2020 10:26,4/15/2020 10:30,100,209,TRUE,4/15/2020 10:30,R_YWbACH99rAaGgJX,anonymous,EN,MS2,Somewhat positively affected,Neutral,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Somewhat positively affected,Somewhat positively affected,Somewhat positively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Strongly Agree,Agree,Neutral,N/A: I have not used this resource,Agree,Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,,,$0-100,Agree,I prefer having required modules and due dates,Weekly,Agree,Disagree,Agree,Strongly Agree,Disagree,,,Neutral,Somewhat negatively affected,Neutral,Stayed at UCSD graduate student housing,Agree,Agree,Neutral,Neutral,Neutral,Neutral,,,,,
4/15/2020 10:24,4/15/2020 10:30,100,380,TRUE,4/15/2020 10:30,R_3F4gLw5NFzgV0WU,anonymous,EN,MS2,N/A: I did not take this course via remote learning,Very positively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Very positively affected,Very positively affected,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"SketchyMedical, pathoma, boards and beyond",$0-100,Strongly Agree,I prefer the flexibility of learning material at my own time and pace,Weekly,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,N/A: I have not received communication via this method,,Strongly Agree,No change,Very prepared,Stayed at UCSD graduate student housing,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,,We can be more efficient with our time,"No networking, meeting docs and patients etc","PBL, lecture","It is better than lecture in person, most people prefer podcasting anyways"
4/15/2020 10:31,4/15/2020 10:33,100,96,TRUE,4/15/2020 10:33,R_pgRax1onByTxup3,anonymous,EN,MS2,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Disagree,Strongly Agree,Strongly Agree,,,$1000+,Disagree,I prefer the flexibility of learning material at my own time and pace,Weekly,,,,,,,,,Very negatively affected,Somewhat unprepared,Moved outside San Diego area,Disagree,Disagree,Agree,Agree,Disagree,Disagree,,,,,why am i paying tuition
4/15/2020 10:24,4/15/2020 10:33,100,545,TRUE,4/15/2020 10:33,R_UKHqGQuu9MY8rlL,anonymous,EN,MS1,Somewhat positively affected,Neutral,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Somewhat positively affected,Neutral,Neutral,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Agree,I prefer the flexibility of learning material at my own time and pace,Weekly,Agree,Agree,Disagree,Agree,Disagree,,,Neutral,,,Stayed at UCSD graduate student housing,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,,,"Remote learning is not conducive for hands-on physical exam and history taking skills teaching and learning. Additionally, time passes slower with online learning so small-group sessions are more effective is smaller time periods.",Online office hours,"While podcasting gives us the luxury of choice, live lectures are also very important for clarifying lecture slides and verbal information in real time. Please consider hosting more live lectures so we have the chance to ask questions and engage with the material. "
4/15/2020 10:33,4/15/2020 10:36,100,199,TRUE,4/15/2020 10:36,R_qVeFelxE4FOn1xD,anonymous,EN,MS1,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Neutral,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,Very negatively affected,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Agree,Agree,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Disagree,I prefer the flexibility of learning material at my own time and pace,Every few days,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,,Neutral,,,Stayed at UCSD graduate student housing,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,,,,,
4/15/2020 10:36,4/15/2020 10:38,100,109,TRUE,4/15/2020 10:38,R_2TNOg41UP3Dn5yp,anonymous,EN,MS1,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,,,,,,,,,,,,,,,,,N/A: I have not used this resource,,,$0-100,Strongly Disagree,I prefer the flexibility of learning material at my own time and pace,Daily,,,,,N/A: I have not received communication via this method,,,Strongly Disagree,,,,,,,,,,,,,,
4/15/2020 10:34,4/15/2020 10:41,100,388,TRUE,4/15/2020 10:41,R_DTdW1lFS5tppMdz,anonymous,EN,MS1,Neutral,Very negatively affected,Very negatively affected,Somewhat negatively affected,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,Neutral,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Neutral,N/A: I did not take this course via remote learning,N/A: I did not take this course via remote learning,Neutral,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,N/A: I have not used this resource,Strongly Agree,Agree,N/A: I have not used this resource,N/A: I have not used this resource,N/A: I have not used this resource,Strongly Agree,Strongly Agree,,,$0-100,Neutral,I prefer the flexibility of learning material at my own time and pace,Biweekly,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,,,Agree,,,Stayed at UCSD graduate student housing,Agree,Agree,Neutral,Neutral,Disagree,Disagree,,flexibility - I appreciate that I can learn my own way,"Pom is not going well. People are struggling during the 4-hour zoom session. It feels like it is there to spend the time to give is the ""idea"" of Pom.","The histo self study slides are really helpful - the labs are nice too, but it would be great if we could also get slides like those. ","It's really hard to focus on learning right now, but I appreciate how understanding everyone has been so far."
4/15/2020 10:36,4/15/2020 10:42,100,333,TRUE,4/15/2020 10:42,R_1hSHHh0zs5prRQH,anonymous,EN,MS1,Neutral,Neutral,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Somewhat negatively affected,Very negatively affected,Very negatively affected,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,,,$0-100,Agree,I prefer the flexibility of learning material at my own time and pace,Weekly,Strongly Agree,Disagree,Agree,Neutral,Disagree,,,Agree,,,Stayed at UCSD graduate student housing,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,,Self pacing and time to do other activities such as research. ,Perhaps a more centralized way to receive announcements rather than email. ,Hard to say. ,It has given me an opportunity to learn more at my own pace whereas before I never had a reason to become a full self-learner. I think what we all miss the most is the human interaction that is integral to the curriculum we had before.  
